Jun 20 14:15:24 rx10025878 syslogd: restart
Jun 20 14:20:16 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:16 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153362 Current Voltage: 699 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153545 Current Voltage: 701 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153525 Current Voltage: 703 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153716 Current Voltage: 705 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153442 Current Voltage: 707 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153442 Current Voltage: 709 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153348 Current Voltage: 710 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153327 Current Voltage: 713 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153239 Current Voltage: 713 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153487 Current Voltage: 716 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153480 Current Voltage: 716 
Jun 20 14:20:17 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 669 Idc: 194 Pdc: 130132 Pac: 126524 Wh: 10543 IdLim: 1.00 Phi: 0.00 
Jun 20 14:20:17 nto PU1: INFO	System	PLog2 300000 ms: tL1: 57 tL2: 55 tL3: 55 tCb: 51 tAc: 36 tDc: 23 
Jun 20 14:20:17 nto PU1: INFO	System	PLog3 300000 ms: iL1: 186 iL2: 187 iL3: 187 vL12: 390 vL23: 389 vL31: 391 f: 50.00 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153669 Current Voltage: 719 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:17 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153492 Current Voltage: 720 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153552 Current Voltage: 722 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153315 Current Voltage: 723 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153253 Current Voltage: 724 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153199 Current Voltage: 725 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153183 Current Voltage: 727 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153060 Current Voltage: 727 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153187 Current Voltage: 728 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153172 Current Voltage: 729 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153553 Current Voltage: 731 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153448 Current Voltage: 732 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153562 Current Voltage: 733 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:18 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153561 Current Voltage: 734 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153770 Current Voltage: 735 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153625 Current Voltage: 736 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153655 Current Voltage: 736 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153570 Current Voltage: 737 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153783 Current Voltage: 738 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153514 Current Voltage: 739 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153557 Current Voltage: 740 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153376 Current Voltage: 741 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153487 Current Voltage: 742 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:19 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153321 Current Voltage: 742 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153467 Current Voltage: 744 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153252 Current Voltage: 745 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153427 Current Voltage: 746 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153280 Current Voltage: 746 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153284 Current Voltage: 747 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:20 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153255 Current Voltage: 747 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153420 Current Voltage: 748 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153353 Current Voltage: 748 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153473 Current Voltage: 749 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153398 Current Voltage: 750 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153303 Current Voltage: 684 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153289 Current Voltage: 687 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153683 Current Voltage: 692 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153367 Current Voltage: 695 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153655 Current Voltage: 750 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:21 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153572 Current Voltage: 751 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153105 Current Voltage: 698 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 152956 Current Voltage: 699 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153076 Current Voltage: 702 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:21 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153153 Current Voltage: 703 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153387 Current Voltage: 705 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153342 Current Voltage: 706 
Jun 20 14:20:22 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153762 Current Voltage: 752 
Jun 20 14:20:22 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
