Jun 29 13:00:24 rx10025878 syslogd: restart
Jun 29 13:06:34 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146504 Current Voltage: 600 
Jun 29 13:06:34 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:34 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146634 Current Voltage: 601 
Jun 29 13:06:36 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146394 Current Voltage: 600 
Jun 29 13:06:36 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:36 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146442 Current Voltage: 601 
Jun 29 13:06:36 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146235 Current Voltage: 602 
Jun 29 13:06:36 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:36 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146088 Current Voltage: 603 
Jun 29 13:06:40 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146100 Current Voltage: 600 
Jun 29 13:06:40 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:40 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146049 Current Voltage: 602 
Jun 29 13:06:43 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146416 Current Voltage: 602 
Jun 29 13:06:43 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:43 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146310 Current Voltage: 602 
Jun 29 13:06:47 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146234 Current Voltage: 600 
Jun 29 13:06:47 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:47 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146339 Current Voltage: 601 
Jun 29 13:06:48 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146401 Current Voltage: 600 
Jun 29 13:06:48 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:48 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146499 Current Voltage: 601 
Jun 29 13:06:50 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146468 Current Voltage: 600 
Jun 29 13:06:50 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:50 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146594 Current Voltage: 601 
Jun 29 13:06:50 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146598 Current Voltage: 603 
Jun 29 13:06:50 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:50 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146371 Current Voltage: 604 
Jun 29 13:06:53 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146849 Current Voltage: 603 
Jun 29 13:06:53 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:53 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146807 Current Voltage: 605 
Jun 29 13:06:56 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146896 Current Voltage: 602 
Jun 29 13:06:56 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:56 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147094 Current Voltage: 604 
Jun 29 13:06:56 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147026 Current Voltage: 605 
Jun 29 13:06:56 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:56 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146828 Current Voltage: 606 
Jun 29 13:07:00 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147207 Current Voltage: 603 
Jun 29 13:07:00 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:00 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147273 Current Voltage: 605 
Jun 29 13:07:02 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147399 Current Voltage: 605 
Jun 29 13:07:02 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:02 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147474 Current Voltage: 606 
Jun 29 13:07:03 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147606 Current Voltage: 606 
Jun 29 13:07:03 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:03 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147589 Current Voltage: 606 
Jun 29 13:07:05 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147553 Current Voltage: 605 
Jun 29 13:07:05 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:05 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147568 Current Voltage: 605 
